sample,Hash,nReads
PO_201711C.1,9c1b08211a76599faa4a6763b8c564f85d586b36,24
SA_201709A.1,9c1b08211a76599faa4a6763b8c564f85d586b36,6812
PO_201709C.1,9c1b08211a76599faa4a6763b8c564f85d586b36,3981
TR_201703A.2,9c1b08211a76599faa4a6763b8c564f85d586b36,3
TR_201709A.1,9c1b08211a76599faa4a6763b8c564f85d586b36,7993
PO_201709A.3,9c1b08211a76599faa4a6763b8c564f85d586b36,3949
PO_201711B.2,9c1b08211a76599faa4a6763b8c564f85d586b36,42
LL_201711B.1,9c1b08211a76599faa4a6763b8c564f85d586b36,44
TR_201703C.3,9c1b08211a76599faa4a6763b8c564f85d586b36,10
PO_201711A.2,9c1b08211a76599faa4a6763b8c564f85d586b36,21
TR_201709B.1,9c1b08211a76599faa4a6763b8c564f85d586b36,10831
TR_201703C.2,9c1b08211a76599faa4a6763b8c564f85d586b36,18
LL_201709A.3,9c1b08211a76599faa4a6763b8c564f85d586b36,5127
LL_201709C.1,9c1b08211a76599faa4a6763b8c564f85d586b36,2639
SA_201709B.2,9c1b08211a76599faa4a6763b8c564f85d586b36,3701
PO_201709A.1,9c1b08211a76599faa4a6763b8c564f85d586b36,1290
TR_201703B.3,9c1b08211a76599faa4a6763b8c564f85d586b36,7
TW_201709C.1,9c1b08211a76599faa4a6763b8c564f85d586b36,1662
SA_201709C.2,9c1b08211a76599faa4a6763b8c564f85d586b36,7828
TR_201709C.1,9c1b08211a76599faa4a6763b8c564f85d586b36,11920
TR_201711A.2,9c1b08211a76599faa4a6763b8c564f85d586b36,114
TR_201709A.2,9c1b08211a76599faa4a6763b8c564f85d586b36,13322
