sample,Hash,nReads
LK_201710A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3957
FH_201711A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3141
CP_201709B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,135
LK_201709C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1086
LK_201711C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,898
LK_201710A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1836
FH_201710B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1737
CP_201709A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1161
CP_201710A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,924
CP_201709B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1022
LK_201711A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1505
FH_201709B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,381
LK_201711C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1712
FH_201710A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1367
FH_201711C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,782
CP_201711C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1167
FH_201710B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,889
LK_201709B.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1446
LK_201710B.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5442
LK_201710C.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1993
FH_201709A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,716
FH_201710C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,3350
FH_201711B.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,1644
FH_201710C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5372
LK_201710C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2198
CP_201710A.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,5446
CP_201711C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,6109
CP_201710C.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,6679
LK_201710A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,385
LK_201710C.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,2644
FH_201709A.3,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,617
LK_201709C.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1262
FH_201711C.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1351
LK_201711B.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1237
FH_201709C.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,522
FH_201710C.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,228
FH_201711B.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,747
CP_201709A.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,2100
FH_201709B.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,703
CP_201711C.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1110
FH_201710A.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,255
FH_201711A.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1411
CP_201711A.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1107
CP_201710B.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,891
CP_201709C.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,1717
CP_201710A.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,293
FH_201709C.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,912
LK_201709B.1,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,4085
LK_201710B.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,2050
CP_201711A.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,674
CP_201711B.3,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,396
