ID,Kingdom,PhylumDivision,Class,Order,Family,Genus,Species,CommonName,Nonindigenous,EarlyLifeMinerology,AdultMinerology,PugetSoundReference,EarlyLifeMineralReference,AdultMineralReference,SpeciesTaxonomyReference
437,Animalia,Annelida,Sedentaria,Scolecida,Cossuridae,Cossura,longocirrata,,,No mineralization,No mineralization,"Mickelson, personal communication",Assumed no mineralization as none in adult,"Lowenstam and Weiner 1989, Vinn et al 2008",ITIS
438,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Costaria,costata,,,No mineralization,No mineralization,Race Rocks,Assumed no mineralization as none in adult,Kraft et al 2004,AlgaeBase
439,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,aleuticus,Coaststange sculpin,,Vertebrate,Vertebrate,"Chris Harvey, personal communication",Vertebrate,Vertebrate,ITIS
440,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,asper,Prickly sculpin,,Vertebrate,Vertebrate,"Chris Harvey, personal communication",Vertebrate,Vertebrate,ITIS
441,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,alaskensis,Alaskan bay shrimp,,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous","Mickelson, personal communication; PSMEP_Benthic_Inverts(Lockington 1877)","Spicer and Eriksson 2003, McLaughlin Lemaitre2000","Roer and Dillaman 1984, Dillaman 2005, Bosselman; even if no ACC in shell, likely ACC precursor",ITIS
442,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,nigricauda,Blacktail Shrimp,,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous",Emerald Diving; PSMEP_Benthic_Inverts(Stimpson 1856),"Spicer and Eriksson 2003, McLaughlin Lemaitre2000","Roer and Dillaman 1984, Dillaman 2005, Bosselman; even if no ACC in shell, likely ACC precursor",ITIS
443,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,alba,Stout crangon,,"High Mg Calcite, Amorphous","High Mg Calcite, Amorphous",WSU Beachwatchers,"Spicer and Eriksson 2003, McLaughlin Lemaitre2000","Roer and Dillaman 1984, Dillaman 2005, Bosselman; even if no ACC in shell, likely ACC precursor",ITIS
444,Animalia,Porifera,Demospongiae,Spirophorida,Tetillidae,Craniella,villosa,Grey Puffball Sponge,,Non-CaCO3 mineral,Non-CaCO3 mineral,Emerald Diving,Assumed no CaCO3 structures as none in adult,Barnes et al 2001,ITIS
445,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Fissurellidae,Cranopsis,cucullata,Hood/Hemet/Hooded Puncturella,,"Amorphous, Aragonite",Aragonite,WSU Beachwatchers; PSMEP_Benthic_Inverts((Gould 1846)),"Eyster 1986, Hasse et al 2000",Hedegaard et al 1997,ITIS
446,Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Crassadoma,gigantea,Giant rock scallop,,"Amorphous, Aragonite","Calcite, Aragonite",Palsson; PSMEP_Benthic_Inverts((J. E. Gray 1825)),"Lee et al 2006, Weiss et al 2002",Taylor et al 1969,ITIS
447,Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,gigas,"Pacific oyster, Japanese oyster",Non-indigenous,"Amorphous, Aragonite","Calcite, Aragonite",Harbo's shells + shellfish of PNW,"Lee et al 2006; Stenzel 1962,1963,1964; Weiss 2002",Taylor et al 1969,ITIS
448,Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,virginica,"American oyster, Atlantic oyster, Eastern oyster",,"Amorphous, Aragonite","Calcite, Aragonite",Harbo's shells + shellfish of PNW,"Lee et al 2006, Stenzel 1962, 1963, 1964",Taylor et al 1969,ITIS
449,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Calyptraeidae,Crepidula,adunca,Slipper Limpet,,"Amorphous, Aragonite",Aragonite,Race Rocks; PSMEP_Benthic_Inverts(G. B. Sowerby I 1825),"Eyster 1986, Hasse et al 2000",Bandel in Carter 1990,ITIS
